date,close,open,high,low,volume,adjclose
2012-05-14 00:00:00,68.010002,67.720001,68.709999,67.510002,1819500.0,54.441936
2012-05-15 00:00:00,67.889999,67.980003,68.550003,67.620003,1783900.0,54.345867
2012-05-16 00:00:00,67.940002,68.110001,68.860001,67.510002,2924400.0,54.385902
2012-05-17 00:00:00,66.209999,68.089996,68.519997,66.129997,2653100.0,53.001038
2012-05-18 00:00:00,65.339996,66.489998,66.720001,65.129997,2553700.0,52.304592
2012-05-21 00:00:00,67.410004,65.059998,67.489998,65.059998,2259600.0,53.961643
2012-05-22 00:00:00,67.279999,68.160004,68.379997,66.889999,2294000.0,53.857559
2012-05-23 00:00:00,68.089996,66.720001,68.269997,66.230003,2122100.0,54.505959
2012-05-24 00:00:00,67.440002,68.0,68.419998,66.699997,2200400.0,53.985653
2012-05-25 00:00:00,66.43,67.629997,67.709999,66.300003,1894600.0,53.177147
2012-05-29 00:00:00,66.5,67.0,67.279999,66.470001,2746400.0,53.233177
2012-05-30 00:00:00,65.339996,66.0,66.089996,65.220001,2732100.0,52.304592
2012-05-31 00:00:00,65.519997,65.339996,66.150002,64.660004,3821800.0,52.448689
2012-06-01 00:00:00,64.290001,64.330002,65.309998,64.209999,3584300.0,51.464085
2012-06-04 00:00:00,63.689999,64.059998,64.690002,62.82,2473800.0,50.983772
2012-06-05 00:00:00,63.669998,63.540001,64.050003,63.150002,1712000.0,50.96777
2012-06-06 00:00:00,65.550003,64.190002,65.550003,64.169998,1940900.0,52.47271
2012-06-07 00:00:00,66.0,66.330002,67.18,65.760002,3106600.0,52.832943
2012-06-08 00:00:00,66.440002,65.690002,66.550003,65.07,2071900.0,53.185173
2012-06-11 00:00:00,65.919998,67.150002,67.25,65.730003,2349600.0,52.768887
2012-06-12 00:00:00,67.190002,66.07,67.199997,65.910004,2049300.0,53.78553
2012-06-13 00:00:00,67.169998,66.889999,68.0,66.470001,1862600.0,53.76952
2012-06-14 00:00:00,68.199997,67.209999,68.610001,66.870003,2103400.0,54.594028
2012-06-15 00:00:00,68.970001,68.800003,69.25,68.400002,3075800.0,55.210415
2012-06-18 00:00:00,71.07,68.699997,71.099998,68.470001,2460700.0,56.891464
2012-06-19 00:00:00,71.309998,71.330002,71.75,70.800003,2164500.0,57.083576
2012-06-20 00:00:00,71.690002,71.220001,71.75,70.57,2209300.0,57.387791
2012-06-21 00:00:00,71.139999,71.760002,72.169998,71.040001,3281000.0,56.947498
2012-06-22 00:00:00,70.0,70.419998,70.730003,69.669998,3228500.0,56.034927
2012-06-25 00:00:00,68.739998,69.25,69.370003,68.169998,2825300.0,55.026295
2012-06-26 00:00:00,69.309998,69.0,69.650002,68.43,1888900.0,55.482582
2012-06-27 00:00:00,69.760002,69.540001,70.050003,69.050003,1287600.0,55.842823
2012-06-28 00:00:00,70.07,69.349998,70.150002,68.75,1688500.0,56.090961
2012-06-29 00:00:00,71.769997,71.260002,71.769997,71.029999,1776300.0,57.45182
2012-07-02 00:00:00,71.419998,71.769997,72.0,70.980003,1745500.0,57.171638
2012-07-03 00:00:00,71.910004,71.449997,71.970001,71.32,771400.0,57.563885
2012-07-05 00:00:00,71.910004,71.690002,72.239998,71.349998,1101400.0,57.563885
2012-07-06 00:00:00,72.199997,71.230003,72.25,71.129997,1676100.0,57.796024
2012-07-09 00:00:00,72.07,71.779999,72.480003,71.699997,1644300.0,57.691959
2012-07-10 00:00:00,70.989998,72.629997,72.779999,70.769997,1687600.0,56.827419
2012-07-11 00:00:00,71.269997,71.139999,72.230003,70.93,2044100.0,57.051567
2012-07-12 00:00:00,71.839996,71.0,72.209999,70.959999,3124000.0,57.507843
