date,close,open,high,low,volume,adjclose
2012-05-14 00:00:00,39.3400002,39.3400002,40.0900002,39.0900002,301900.0,39.3400002
2012-05-15 00:00:00,39.2099991,39.1500015,39.8800011,39.0299988,283000.0,39.2099991
2012-05-16 00:00:00,39.0099983,39.3800011,39.5200005,38.8800011,219900.0,39.0099983
2012-05-17 00:00:00,38.9900017,39.0800018,39.2200012,38.3600006,249200.0,38.9900017
2012-05-18 00:00:00,37.7400017,38.9900017,38.9900017,37.6100006,111500.0,37.7400017
2012-05-21 00:00:00,38.0,37.7299995,38.1500015,37.2200012,115000.0,38.0
2012-05-22 00:00:00,37.6399994,38.1500015,38.2700005,37.5299988,302500.0,37.6399994
2012-05-23 00:00:00,37.8499985,37.3600006,37.8499985,37.1800003,94000.0,37.8499985
2012-05-24 00:00:00,38.5400009,37.9599991,38.5400009,37.5699997,210400.0,38.5400009
2012-05-25 00:00:00,38.4599991,38.4799995,38.9500008,38.3800011,106200.0,38.4599991
2012-05-29 00:00:00,38.6899986,38.6100006,38.75,38.1599998,93200.0,38.6899986
2012-05-30 00:00:00,38.2000008,38.5600014,38.5600014,38.0,100400.0,38.2000008
2012-05-31 00:00:00,37.9000015,38.3400002,38.3400002,37.6100006,216500.0,37.9000015
2012-06-01 00:00:00,36.2099991,37.5,37.5400009,35.6899986,262600.0,36.2099991
2012-06-04 00:00:00,36.6800003,36.3199997,36.7299995,35.6899986,231400.0,36.6800003
2012-06-05 00:00:00,37.0299988,36.5900002,37.2099991,36.1300011,155300.0,37.0299988
2012-06-06 00:00:00,38.5400009,37.25,38.5400009,37.0800018,402100.0,38.5400009
2012-06-07 00:00:00,38.5999985,38.8800011,39.0800018,38.5400009,344000.0,38.5999985
2012-06-08 00:00:00,36.6699982,36.5600014,36.75,36.2000008,3545400.0,36.6699982
2012-06-11 00:00:00,36.5800018,36.8800011,36.9000015,36.4500008,798700.0,36.5800018
2012-06-12 00:00:00,36.9900017,36.6800003,37.0800018,36.4900017,775200.0,36.9900017
2012-06-13 00:00:00,37.2299995,36.9900017,37.4900017,36.75,869400.0,37.2299995
2012-06-14 00:00:00,37.2799988,37.1199989,37.5400009,36.8499985,481200.0,37.2799988
2012-06-15 00:00:00,37.4500008,37.2900009,37.6699982,36.6399994,836400.0,37.4500008
2012-06-18 00:00:00,37.9300003,37.4000015,38.0800018,37.0999985,426400.0,37.9300003
2012-06-19 00:00:00,38.2299995,38.0200005,38.4000015,37.9300003,846300.0,38.2299995
2012-06-20 00:00:00,37.5900002,38.3100014,38.3100014,37.4099998,426200.0,37.5900002
2012-06-21 00:00:00,36.4599991,37.4700012,37.7599983,36.3800011,472000.0,36.4599991
2012-06-22 00:00:00,35.0,36.6399994,36.6500015,34.8199997,3122300.0,35.0
2012-06-25 00:00:00,34.4300003,34.7999992,35.0999985,34.4000015,496500.0,34.4300003
2012-06-26 00:00:00,34.3899994,34.2099991,34.7700005,34.1800003,265800.0,34.3899994
2012-06-27 00:00:00,34.0900002,34.1899986,34.6100006,34.0,291800.0,34.0900002
2012-06-28 00:00:00,34.0099983,34.0,34.1300011,33.7299995,627100.0,34.0099983
2012-06-29 00:00:00,35.0400009,34.5,35.0400009,34.2599983,531800.0,35.0400009
2012-07-02 00:00:00,34.9500008,35.2400017,35.2400017,34.6800003,394000.0,34.9500008
2012-07-03 00:00:00,35.5999985,34.8300018,35.5999985,34.8300018,110000.0,35.5999985
2012-07-05 00:00:00,35.2900009,35.5499992,35.7099991,35.0699997,351200.0,35.2900009
2012-07-06 00:00:00,34.8400002,34.8800011,34.9599991,34.6500015,169600.0,34.8400002
2012-07-09 00:00:00,35.3699989,34.9399986,35.4399986,34.3600006,423800.0,35.3699989
2012-07-10 00:00:00,35.2900009,35.4399986,36.0,34.9500008,240300.0,35.2900009
2012-07-11 00:00:00,35.6800003,35.1899986,35.7400017,35.0400009,359600.0,35.6800003
2012-07-12 00:00:00,36.1399994,35.4300003,36.3499985,34.9399986,572000.0,36.1399994
